                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.39788,                0.34071,                0.89233,                 0.9751,                0.97914,                0.98636,                0.92188,                0.39171,                 0.3364,                0.81975,              0.0008317,              0.0008317,              0.0008317
                     53,                0.41752,                0.34389,                0.88515,                0.97557,                0.96667,                 0.9884,                0.90922,                0.42111,                0.33602,                0.82182,              0.0008284,              0.0008284,              0.0008284
                     54,                0.39685,                0.33132,                0.89405,                0.99623,                   0.95,                0.97689,                0.91189,                 0.4039,                0.32663,                0.81488,              0.0008251,              0.0008251,              0.0008251
                     55,                0.38761,                0.32878,                0.87364,                0.98602,                   0.95,                0.97747,                0.90868,                 0.4105,                0.34136,                0.81118,              0.0008218,              0.0008218,              0.0008218
                     56,                0.40553,                0.33797,                0.87769,                0.98775,                0.94167,                0.98133,                0.91804,                0.40973,                0.35058,                0.80831,              0.0008185,              0.0008185,              0.0008185
                     57,                0.39892,                 0.3387,                0.87701,                0.97359,                0.96667,                 0.9832,                0.92033,                0.40601,                0.33491,                0.80401,              0.0008152,              0.0008152,              0.0008152
                     58,                0.38402,                0.32109,                0.87756,                0.97398,                0.96667,                0.98384,                0.91924,                0.38936,                0.31803,                0.80938,              0.0008119,              0.0008119,              0.0008119
                     59,                0.37138,                0.31503,                0.87273,                0.98289,                 0.9573,                0.97774,                0.92292,                0.38346,                0.31585,                0.80952,              0.0008086,              0.0008086,              0.0008086
                     60,                0.37735,                0.32383,                0.87347,                0.98869,                0.95833,                  0.987,                0.92088,                0.38377,                0.30904,                0.81213,              0.0008053,              0.0008053,              0.0008053
                     61,                0.38391,                0.33387,                0.87641,                 0.9976,                0.95833,                0.98732,                0.91252,                0.40055,                0.31795,                0.82724,               0.000802,               0.000802,               0.000802
                     62,                0.36669,                0.31055,                0.86037,                      1,                0.93158,                0.97354,                0.90272,                 0.3943,                0.35666,                 0.8221,              0.0007987,              0.0007987,              0.0007987
                     63,                0.37535,                0.32174,                0.88444,                 0.9929,                   0.95,                0.98289,                0.92316,                 0.3658,                0.33049,                0.80336,              0.0007954,              0.0007954,              0.0007954
                     64,                 0.3872,                0.31952,                0.88492,                0.96577,                  0.975,                0.98505,                0.92676,                0.38743,                0.33736,                0.81036,              0.0007921,              0.0007921,              0.0007921
                     65,                 0.3906,                0.33033,                0.87302,                0.97483,                0.98333,                0.98614,                0.91175,                 0.3944,                0.31734,                0.81077,              0.0007888,              0.0007888,              0.0007888
                     66,                0.37736,                0.31514,                0.87867,                0.97406,                0.96667,                0.98059,                0.92067,                0.37404,                0.32581,                0.80456,              0.0007855,              0.0007855,              0.0007855
                     67,                0.37375,                  0.308,                0.87733,                0.97473,                0.96443,                0.99241,                0.91552,                0.38122,                0.29974,                0.80748,              0.0007822,              0.0007822,              0.0007822
                     68,                0.38086,                 0.3057,                0.87506,                0.97825,                  0.975,                0.98795,                0.92374,                0.37508,                0.28348,                0.80369,              0.0007789,              0.0007789,              0.0007789
                     69,                0.37873,                0.32889,                0.87693,                0.99148,                0.96926,                0.98624,                0.92069,                0.38271,                0.28899,                0.80668,              0.0007756,              0.0007756,              0.0007756
                     70,                0.37555,                0.31555,                0.88644,                      1,                0.97459,                 0.9862,                0.92522,                0.37673,                0.29605,                0.80939,              0.0007723,              0.0007723,              0.0007723
                     71,                0.36411,                0.30133,                0.87168,                0.96716,                 0.9817,                0.98597,                 0.9319,                0.38359,                0.30169,                0.80502,               0.000769,               0.000769,               0.000769
                     72,                0.36905,                0.32177,                0.86308,                0.98353,                  0.975,                0.98523,                0.93186,                0.37267,                0.29749,                0.79901,              0.0007657,              0.0007657,              0.0007657
                     73,                0.36847,                0.30195,                0.87423,                0.98123,                0.98333,                0.99402,                0.92987,                0.36845,                0.27124,                 0.8053,              0.0007624,              0.0007624,              0.0007624
                     74,                0.35576,                0.30745,                0.86092,                      1,                0.94066,                0.96764,                0.93013,                0.36358,                0.33055,                0.80545,              0.0007591,              0.0007591,              0.0007591
                     75,                 0.3522,                0.31421,                0.88018,                0.98666,                0.95833,                0.98385,                0.92155,                0.38562,                0.30847,                0.80908,              0.0007558,              0.0007558,              0.0007558
                     76,                0.36559,                0.31138,                0.87257,                0.99151,                0.97275,                 0.9869,                0.93175,                0.37195,                0.28726,                0.80646,              0.0007525,              0.0007525,              0.0007525
                     77,                 0.3658,                0.29706,                0.86366,                0.99945,                0.96667,                0.98505,                0.90857,                0.39308,                0.30101,                0.80426,              0.0007492,              0.0007492,              0.0007492
                     78,                0.36771,                0.29701,                0.88137,                0.98948,                   0.95,                0.98282,                0.93151,                0.36695,                0.30022,                0.79735,              0.0007459,              0.0007459,              0.0007459
                     79,                0.33995,                0.30069,                0.87386,                0.99872,                0.93333,                 0.9743,                0.92694,                0.35646,                0.32422,                0.79653,              0.0007426,              0.0007426,              0.0007426
                     80,                0.35717,                0.29913,                0.86777,                0.99137,                0.95698,                0.98623,                0.93172,                0.37474,                0.30652,                0.80628,              0.0007393,              0.0007393,              0.0007393
                     81,                0.35688,                0.29972,                0.86887,                0.97492,                0.97182,                 0.9864,                0.93961,                0.35974,                0.28922,                0.80257,               0.000736,               0.000736,               0.000736
                     82,                0.34493,                0.28968,                0.87116,                0.99151,                0.97378,                0.98698,                0.94107,                0.36327,                0.27789,                0.80487,              0.0007327,              0.0007327,              0.0007327
                     83,                0.35359,                0.29756,                0.86204,                0.99138,                0.95791,                0.97603,                0.92681,                0.36399,                0.30215,                0.80514,              0.0007294,              0.0007294,              0.0007294
                     84,                0.35632,                0.29171,                0.87163,                0.99144,                0.96519,                0.98141,                 0.9099,                0.37217,                0.30059,                0.80689,              0.0007261,              0.0007261,              0.0007261
                     85,                0.34332,                0.29501,                 0.8598,                0.99837,                0.95833,                0.97388,                0.93439,                0.35545,                0.29678,                 0.8093,              0.0007228,              0.0007228,              0.0007228
                     86,                0.34266,                0.28791,                0.85442,                0.99145,                0.96628,                0.97969,                0.93599,                0.34832,                0.27967,                 0.7995,              0.0007195,              0.0007195,              0.0007195
                     87,                0.35109,                0.30418,                0.86157,                0.99692,                0.95833,                0.98157,                0.93926,                0.34392,                0.28693,                0.80106,              0.0007162,              0.0007162,              0.0007162
                     88,                0.34087,                0.28477,                0.85637,                0.98216,                   0.95,                0.98378,                0.93539,                0.35549,                0.29995,                 0.8072,              0.0007129,              0.0007129,              0.0007129
                     89,                 0.3313,                0.28428,                0.87384,                0.99072,                0.95833,                0.98595,                0.93699,                0.34636,                0.28799,                0.79467,              0.0007096,              0.0007096,              0.0007096
                     90,                0.32484,                0.27211,                0.86136,                 0.9922,                0.95833,                0.98212,                0.93283,                0.36464,                0.28661,                0.79614,              0.0007063,              0.0007063,              0.0007063
                     91,                0.33433,                0.28803,                0.85768,                0.99032,                0.96667,                0.97863,                0.93704,                0.35314,                0.27753,                0.79167,               0.000703,               0.000703,               0.000703
                     92,                0.33608,                0.28663,                 0.8637,                0.99038,                   0.95,                0.97721,                0.93058,                0.34902,                0.30509,                0.79247,              0.0006997,              0.0006997,              0.0006997
                     93,                0.31098,                0.27297,                0.84544,                0.99823,                   0.95,                0.97692,                0.92221,                 0.3594,                0.30073,                0.80206,              0.0006964,              0.0006964,              0.0006964
                     94,                0.33427,                0.28506,                 0.8675,                0.99144,                 0.9655,                0.98298,                0.93448,                0.35283,                0.29693,                0.79625,              0.0006931,              0.0006931,              0.0006931
                     95,                0.33018,                0.28141,                0.86112,                0.98317,                0.97361,                0.98397,                0.93712,                0.37213,                0.27806,                 0.8024,              0.0006898,              0.0006898,              0.0006898
                     96,                0.33261,                0.27351,                0.85294,                0.98253,                  0.975,                0.98351,                 0.9306,                0.35474,                0.25903,                0.80052,              0.0006865,              0.0006865,              0.0006865
                     97,                0.31779,                0.27784,                0.84876,                      1,                0.97433,                 0.9897,                0.92672,                0.36484,                0.25678,                0.80424,              0.0006832,              0.0006832,              0.0006832
                     98,                0.32793,                0.27887,                0.86141,                      1,                  0.966,                0.97934,                 0.9223,                0.38205,                0.28591,                0.79473,              0.0006799,              0.0006799,              0.0006799
                     99,                0.32331,                0.27137,                0.86204,                  0.999,                0.95833,                  0.984,                0.92884,                0.36706,                0.29005,                 0.7926,              0.0006766,              0.0006766,              0.0006766
                    100,                0.32425,                 0.2679,                0.85438,                0.99935,                   0.95,                0.97829,                0.93135,                0.36123,                0.28356,                0.80118,              0.0006733,              0.0006733,              0.0006733
                    101,                0.31615,                0.27903,                0.86459,                0.98122,                  0.975,                 0.9844,                0.93176,                0.37139,                0.26616,                 0.8012,                0.00067,                0.00067,                0.00067
                    102,                0.33211,                0.26922,                0.85924,                  0.975,                0.97485,                0.98744,                0.93309,                0.33834,                 0.2638,                0.79611,              0.0006667,              0.0006667,              0.0006667
                    103,                 0.3178,                0.26966,                0.86046,                0.99137,                0.95765,                0.98846,                0.93064,                0.36879,                0.27198,                0.80452,              0.0006634,              0.0006634,              0.0006634
                    104,                0.33248,                0.27271,                0.86159,                0.99395,                0.95833,                0.97481,                0.91993,                0.35671,                0.28609,                0.80337,              0.0006601,              0.0006601,              0.0006601
                    105,                0.31949,                0.27479,                0.85478,                0.98254,                0.96667,                0.97811,                0.92475,                0.35946,                0.28763,                0.79778,              0.0006568,              0.0006568,              0.0006568
                    106,                 0.3263,                0.27485,                0.85701,                0.98304,                0.96591,                0.98208,                0.93045,                0.35923,                0.28213,                0.80023,              0.0006535,              0.0006535,              0.0006535
                    107,                0.32008,                0.25731,                0.85705,                 0.9829,                0.95812,                0.97044,                0.92018,                0.37073,                0.31632,                0.79918,              0.0006502,              0.0006502,              0.0006502
                    108,                0.30337,                0.25553,                0.85391,                      1,                0.94724,                 0.9733,                0.91995,                0.36649,                 0.2967,                0.79724,              0.0006469,              0.0006469,              0.0006469
                    109,                0.30415,                0.25215,                0.84976,                0.99848,                   0.95,                0.96996,                0.92539,                0.36083,                0.29625,                0.80085,              0.0006436,              0.0006436,              0.0006436
                    110,                0.31304,                0.27643,                0.85557,                0.98258,                0.94011,                0.97086,                  0.927,                0.33573,                 0.3105,                0.79605,              0.0006403,              0.0006403,              0.0006403
                    111,                0.30268,                0.26107,                0.85502,                0.98596,                0.95833,                0.98698,                0.94914,                 0.3384,                0.27853,                0.79648,               0.000637,               0.000637,               0.000637
                    112,                0.29998,                0.25183,                0.84456,                0.99858,                0.95833,                0.98663,                 0.9458,                0.33949,                0.28501,                0.79647,              0.0006337,              0.0006337,              0.0006337
                    113,                0.31293,                0.26089,                0.85262,                0.99157,                0.98006,                0.98817,                0.95261,                0.34866,                0.25912,                0.79685,              0.0006304,              0.0006304,              0.0006304
                    114,                0.29262,                0.24602,                0.84665,                0.99159,                0.98258,                0.98695,                0.94351,                0.33762,                0.24233,                 0.7963,              0.0006271,              0.0006271,              0.0006271
                    115,                 0.2994,                0.24986,                0.84677,                0.99028,                  0.975,                0.98729,                0.94302,                0.33128,                0.24688,                0.79123,              0.0006238,              0.0006238,              0.0006238
                    116,                0.30162,                0.25427,                0.84623,                      1,                0.97358,                0.98729,                0.94557,                0.34421,                0.25238,                0.79597,              0.0006205,              0.0006205,              0.0006205
                    117,                 0.3015,                0.25834,                0.85555,                0.98332,                0.98333,                0.98794,                0.95246,                0.32687,                0.25083,                0.79642,              0.0006172,              0.0006172,              0.0006172
                    118,                0.30581,                0.25472,                0.85298,                0.97498,                0.97404,                 0.9802,                0.93316,                0.35428,                0.27069,                0.79961,              0.0006139,              0.0006139,              0.0006139
                    119,                0.30582,                0.25534,                 0.8505,                0.99055,                  0.975,                0.98083,                0.92135,                0.34441,                0.26128,                0.79897,              0.0006106,              0.0006106,              0.0006106
                    120,                0.31703,                0.25985,                0.85469,                0.98169,                  0.975,                 0.9852,                0.94078,                0.34581,                 0.2542,                0.79918,              0.0006073,              0.0006073,              0.0006073
                    121,                0.30109,                0.25793,                 0.8583,                0.99082,                0.95833,                0.98128,                0.93844,                0.33415,                0.27681,                0.79971,               0.000604,               0.000604,               0.000604
                    122,                0.29749,                0.25062,                0.85762,                0.99903,                   0.95,                0.97243,                0.93205,                0.32555,                0.28083,                0.79791,              0.0006007,              0.0006007,              0.0006007
                    123,                0.29386,                0.24965,                0.85719,                0.99128,                0.94722,                0.98188,                0.93802,                0.34159,                0.27244,                0.80151,              0.0005974,              0.0005974,              0.0005974
                    124,                 0.3041,                0.24785,                0.84757,                0.99001,                0.95833,                0.97911,                0.94051,                0.33945,                0.27442,                 0.8011,              0.0005941,              0.0005941,              0.0005941
                    125,                0.29277,                 0.2436,                0.84977,                 0.9909,                0.96667,                 0.9786,                0.93264,                0.33306,                0.25329,                0.79461,              0.0005908,              0.0005908,              0.0005908
                    126,                0.29822,                0.24696,                 0.8508,                      1,                0.96633,                0.98402,                0.94093,                0.32718,                 0.2534,                0.79019,              0.0005875,              0.0005875,              0.0005875
                    127,                0.30024,                0.24706,                0.84574,                0.99201,                  0.975,                0.98696,                0.94596,                 0.3385,                0.26937,                0.79824,              0.0005842,              0.0005842,              0.0005842
                    128,                0.31101,                0.27414,                0.86985,                0.99755,                  0.975,                0.98349,                0.93969,                0.33228,                0.23466,                0.79573,              0.0005809,              0.0005809,              0.0005809
                    129,                 0.2894,                0.24273,                0.85124,                0.99101,                0.96667,                0.97868,                0.94054,                0.32359,                0.25039,                0.79802,              0.0005776,              0.0005776,              0.0005776
                    130,                0.29075,                0.25818,                 0.8397,                0.99022,                0.96667,                0.97544,                0.93161,                0.31682,                0.24986,                0.79543,              0.0005743,              0.0005743,              0.0005743
                    131,                0.28814,                0.25062,                0.84417,                 0.9829,                0.95809,                0.97671,                0.94043,                0.32385,                0.25599,                0.79134,               0.000571,               0.000571,               0.000571
                    132,                0.29999,                0.25874,                0.85036,                0.99144,                0.96565,                0.98555,                0.93687,                0.32356,                0.23313,                0.78713,              0.0005677,              0.0005677,              0.0005677
                    133,                 0.2867,                0.24726,                0.84925,                0.99817,                   0.95,                0.97672,                0.93973,                0.33178,                0.25309,                0.79864,              0.0005644,              0.0005644,              0.0005644
                    134,                0.28672,                0.23951,                0.84557,                      1,                 0.9567,                0.97236,                0.91578,                0.35608,                0.26683,                0.79942,              0.0005611,              0.0005611,              0.0005611
                    135,                0.30108,                0.25735,                 0.8486,                0.98721,                0.95833,                0.97838,                0.92852,                0.33641,                0.28033,                0.79358,              0.0005578,              0.0005578,              0.0005578
                    136,                0.28565,                0.24916,                0.84891,                0.98176,                  0.975,                0.98906,                0.94617,                0.31535,                 0.2362,                0.78984,              0.0005545,              0.0005545,              0.0005545
                    137,                0.29321,                0.24372,                0.84541,                0.97472,                  0.975,                0.98553,                0.93438,                0.33054,                0.23824,                0.79714,              0.0005512,              0.0005512,              0.0005512
                    138,                0.28219,                0.23766,                0.85457,                0.98289,                0.95751,                0.98072,                 0.9372,                0.33464,                0.26463,                0.79387,              0.0005479,              0.0005479,              0.0005479
                    139,                 0.2736,                0.23771,                0.84459,                0.98887,                0.96667,                0.98793,                 0.9437,                0.34481,                0.26784,                0.80546,              0.0005446,              0.0005446,              0.0005446
                    140,                0.28259,                0.23178,                0.83939,                      1,                0.97423,                0.99404,                0.94969,                0.33379,                 0.2242,                0.79397,              0.0005413,              0.0005413,              0.0005413
                    141,                0.27445,                0.23408,                0.85142,                0.99101,                  0.975,                0.98824,                0.94538,                0.33476,                0.23113,                  0.797,               0.000538,               0.000538,               0.000538
                    142,                0.28265,                0.24155,                0.85483,                0.98161,                  0.975,                0.98693,                 0.9396,                0.34341,                0.24386,                0.79618,              0.0005347,              0.0005347,              0.0005347
                    143,                0.28655,                0.24585,                0.85319,                      1,                0.94049,                0.98131,                 0.9353,                0.33575,                0.26214,                0.79282,              0.0005314,              0.0005314,              0.0005314
